timestep,elites,commoners,nature,wealth
562,0,42709.1,32.2933,1024.4
563,0,43533.1,31.0979,1026.15
564,0,44373.1,29.889,1027.02
565,0,45229.1,28.6663,1027.02
566,0,46101.1,27.4339,1026.02
567,0,46993.1,26.1917,1024.02
568,0,47901.1,24.9397,1021.02
569,0,48825.1,23.68,1016.9
570,0,49769.1,22.4144,1011.65
571,0,50729.1,21.1448,1005.27
572,0,51709.1,19.8753,997.65
573,0,52709.1,18.6077,988.775
574,0,53729.1,17.344,978.587
575,0,54765.1,16.0882,967.025
576,0,55821.1,14.8451,954.025
577,0,56901.1,13.6185,939.587
578,0,58001.1,12.4134,923.712
579,0,59121.1,11.2347,906.337
580,0,60261.1,10.0882,887.4
581,0,61425.1,8.98083,866.962
582,0,62613.1,7.91739,844.962
583,0,63821.1,6.90567,821.4
584,0,65053.1,5.95206,796.275
585,0,66309.1,5.0629,769.587
586,0,67589.1,4.24405,741.4
587,0,68893.1,3.50007,711.712
588,0,70221.1,2.83528,680.587
589,0,71581.1,2.25154,648.025
590,0,72965.1,1.7491,614.15
591,0,74373.1,1.32637,578.962
592,0,75813.1,0.979569,542.587
593,0,77277.1,0.702835,505.03
594,0,78773.1,0.488664,466.405
595,0,80293.1,0.328325,426.718
596,0,81845.1,0.212607,386.062
597,0,83429.1,0.132285,346.812
598,0,84757.1,0.0788335,311.499
599,0,85549.1,0.0452337,279.718
600,0,85869.1,0.0253559,251.153
601,0,85789.1,0.0140797,225.465
602,0,85365.1,0.00783986,202.403
603,0,84637.1,0.00442237,181.684
604,0,83661.1,0.00254983,163.09
605,0,82469.1,0.00151276,146.387
606,0,81093.1,0.000928394,131.403
607,0,79573.1,0.000591628,117.95
608,0,77925.1,0.000392384,105.871
609,0,76181.1,0.000271297,95.0277
610,0,74365.1,0.000195668,85.2933
611,0,72485.1,0.000147195,76.559
612,0,70565.1,0.000115469,68.723
613,0,68613.1,9.43685e-05,61.6852
614,0,66645.1,8.0272e-05,55.3688
615,0,64675.4,7.09885e-05,49.7009
616,0,62707.4,6.51696e-05,44.611
617,0,60751.4,6.20181e-05,40.0446
618,0,58811.4,6.10942e-05,35.9431
619,0,56895.4,6.22118e-05,32.2634
620,0,55007.4,6.53857e-05,28.9605
621,0,53151.4,7.08321e-05,25.9956
622,0,51331.4,7.8983e-05,23.3335
623,0,49547.4,9.05314e-05,20.9449
624,0,47803.4,0.000106528,18.8003
625,0,46103.4,0.000128527,16.8745
626,0,44447.4,0.000158806,15.1465
627,0,42835.4,0.000200723,13.5957
628,0,41267.4,0.000259225,12.2041
629,0,39743.4,0.000341748,10.9541
630,0,38267.4,0.000459437,9.83303
631,0,36835.4,0.000629251,8.8262
632,0,35447.4,0.000877206,7.92288
633,0,34103.4,0.00124367,7.11233
634,0,32803.4,0.00179192,6.38479
635,0,31547.4,0.00262161,5.73196
636,0,30333.4,0.00389167,5.14651
637,0,29161.4,0.00585767,4.62161
638,0,28029.4,0.00893422,4.15139
639,0,26937.4,0.0137999,3.7305
640,0,25885.4,0.0215723,3.35476
641,0,24871.4,0.0341089,3.02078
642,0,23893.4,0.0545175,2.72586
643,0,22951.4,0.0880402,2.46902
644,0,22045.4,0.143562,2.25076
645,0,21173.4,0.236244,2.07449
646,0,20333.4,0.392037,1.94759
647,0,19525.4,0.655587,1.88448
648,0,18749.4,1.10359,1.91036
649,0,18005.4,1.86738,2.06856
650,0,17291.4,3.16889,2.4316
651,0,16609.4,5.37397,3.11958
652,0,15959.4,9.05464,4.32662
653,0,15344.4,15.0156,6.35494
654,0,14769.4,24.1425,9.64424
655,0,14242.4,36.7988,14.7546
656,0,13777.4,51.6503,22.2059
657,0,13394.4,65.053,32.1005
658,0,13118.4,73.4358,43.7137
659,0,12975.4,76.9358,55.7098
660,0,12981.4,78.0374,67.077
661,0,13134.4,78.2639,77.7567
662,0,13394.4,78.1077,88.6083
663,0,13652.4,77.7249,99.6395
664,0,13916.4,77.3108,110.796
665,0,14185.4,76.8733,122.069
666,0,14459.4,76.428,133.456
667,0,14738.4,75.9749,144.956
668,0,15023.4,75.5139,156.565
669,0,15313.4,75.0452,168.268
670,0,15609.4,74.5686,180.081
671,0,15910.4,74.0842,191.987
672,0,16217.4,73.5842,204.003
673,0,16530.8,73.0842,216.112
674,0,16850.8,72.5686,228.315
675,0,17176.8,72.0452,240.596
676,0,17508.8,71.5061,252.971
677,0,17846.8,70.9592,265.413
678,0,18190.8,70.4045,277.944
679,0,18542.8,69.842,290.538
680,0,18900.8,69.2639,303.194
681,0,19266.8,68.678,315.913
682,0,19638.8,68.0764,328.663
683,0,20018.8,67.467,341.475
684,0,20404.8,66.8499,354.319
685,0,20798.8,66.217,367.194
686,0,21200.8,65.5686,380.1
687,0,21610.8,64.9124,393.006
688,0,22028.8,64.2483,405.944
689,0,22454.8,63.5661,418.881
690,0,22888.8,62.8708,431.788
691,0,23330.8,62.1677,444.663
692,0,23780.8,61.4489,457.506
693,0,24240.8,60.7185,470.319
694,0,24708.8,59.9724,483.069
695,0,25186.8,59.2146,495.756
696,0,25672.8,58.4411,508.35
697,0,26168.8,57.656,520.85
698,0,26674.8,56.8552,533.225
699,0,27190.8,56.0388,545.475
700,0,27716.8,55.2068,557.6
701,0,28252.8,54.363,569.6
702,0,28798.8,53.5036,581.413
703,0,29354.8,52.6286,593.038
704,0,29922.8,51.738,604.413
705,0,30500.8,50.8318,615.538
706,0,31090.8,49.9099,626.413
707,0,31690.8,48.9724,637.038
708,0,32302.8,48.0232,647.35
709,0,32926.8,47.0544,657.35
710,0,33562.8,46.07,666.975
711,0,34210.8,45.07,676.225
712,0,34870.8,44.0544,685.1
713,0,35542.8,43.0232,693.538
714,0,36230.8,41.9763,701.475
715,0,36930.8,40.9099,708.913
716,0,37642.8,39.8279,715.85
717,0,38370.8,38.7302,722.225
718,0,39110.8,37.6169,727.975
719,0,39866.8,36.488,733.1
720,0,40638.8,35.3435,737.538
721,0,41422.8,34.1833,741.288
722,0,42222.8,33.0075,744.288
723,0,43038.8,31.8164,746.475
724,0,43870.8,30.6133,747.85
725,0,44718.8,29.3985,748.35
726,0,45582.8,28.17,747.913
727,0,46462.8,26.9317,746.538
728,0,47358.8,25.6836,744.163
729,0,48274.8,24.4278,740.725
730,0,49206.8,23.166,736.163
731,0,50158.8,21.8985,730.475
732,0,51126.8,20.6289,723.6
733,0,52114.8,19.3594,715.475
734,0,53122.8,18.0918,706.038
735,0,54150.8,16.8301,695.288
736,0,55194.8,15.5782,683.163
737,0,56262.8,14.3408,669.6
738,0,57350.8,13.1221,654.6
739,0,58458.8,11.9268,638.1
740,0,59586.8,10.7598,620.1
741,0,60738.8,9.62796,600.538
742,0,61910.8,8.53714,579.413
743,0,63106.8,7.49417,556.725
744,0,64326.8,6.5054,532.475
745,0,65570.7,5.57718,506.719
